,carat,cut,cut_ord,color,clarity,clarity_ord,price,predicted_price,pred_price_modified
151,0.9,Very Good,3,H,VVS2,6,4617,5501,5501
152,0.58,Very Good,3,D,SI1,3,1785,1446.84,1446.84
153,1.01,Very Good,3,H,SI1,3,4619,5064.43,5064.43
154,0.3,Good,2,F,VS2,5,484,-158.9,0
155,0.79,Ideal,5,E,SI1,3,3053,3529.77,3529.77
156,0.71,Ideal,5,G,SI1,3,2233,2856.73,2856.73
157,1.01,Premium,4,G,SI1,3,4525,5222.53,5222.53
158,1.01,Very Good,3,D,VVS2,6,10453,6426.43,6426.43
159,1.01,Very Good,3,H,VS1,4,5687,5518.43,5518.43
160,1.2,Premium,4,G,VS2,5,7795,7729,7729
161,0.27,Very Good,3,D,VS1,4,470,-707.19,0
162,0.56,Ideal,5,I,VVS1,7,1616,3410.78,3410.78
163,0.41,Ideal,5,E,VVS1,7,1431,2148.83,2148.83
164,0.72,Ideal,5,F,VVS2,6,3740,4302.86,4302.86
165,0.55,Ideal,5,D,SI2,2,1363,1056.65,1056.65
166,0.41,Premium,4,D,SI1,3,1015,174.73,174.73
167,0.3,Very Good,3,E,IF,8,1026,1361.2,1361.2
168,1.01,Ideal,5,G,VVS2,6,8252,6742.63,6742.63
169,0.4,Very Good,3,E,SI2,2,611,-521.5,0
170,0.4,Premium,4,F,SI1,3,920,90.6,90.6
171,0.31,Very Good,3,H,SI1,3,446,-824.67,0
172,0.39,Premium,4,G,VS2,5,787,914.47,914.47
173,0.71,Very Good,3,H,SI1,3,2210,2540.53,2540.53
174,1.11,Ideal,5,E,SI2,2,5262,5767.93,5767.93
175,1.02,Ideal,5,F,VS2,5,6479,6372.76,6372.76
176,0.33,Very Good,3,E,VS1,4,886,-202.41,0
177,2.2,Premium,4,G,SI1,3,18193,15234,15234
178,2.02,Fair,1,H,SI2,2,14080,12791.36,12791.36
179,0.56,Very Good,3,F,SI1,3,1436,1278.58,1278.58
180,1.08,Ideal,5,D,VS1,4,9545,6423.54,6423.54
181,1.51,Premium,4,G,SI1,3,10739,9429.03,9429.03
182,1.15,Very Good,3,G,SI1,3,5538,6242.25,6242.25
183,1.25,Premium,4,I,VS2,5,5975,8149.65,8149.65
184,0.4,Ideal,5,G,VVS1,7,995,2064.7,2064.7
185,0.76,Premium,4,E,SI2,2,2688,2665.28,2665.28
186,1.01,Premium,4,E,VS1,4,7964,5676.53,5676.53
187,1.2,Premium,4,I,SI2,2,4989,6367,6367
188,1.34,Premium,4,J,VS2,5,5778,8906.82,8906.82
189,0.34,Premium,4,G,VS2,5,596,493.82,493.82
190,0.53,Ideal,5,F,SI1,3,1363,1342.39,1342.39
191,0.35,Very Good,3,G,IF,8,1001,1781.85,1781.85
192,0.23,Good,2,E,VVS1,7,462,160.19,160.19
193,1,Good,2,F,VS2,5,5606,5730.2,5730.2
194,2.04,Premium,4,H,SI2,2,15760,13433.92,13433.92
195,1.01,Very Good,3,I,SI1,3,4794,5064.43,5064.43
196,0.31,Very Good,3,H,IF,8,778,1445.33,1445.33
197,0.41,Good,2,I,VS1,4,969,312.53,312.53
198,1.11,Premium,4,F,VS2,5,7179,6971.83,6971.83
199,1.05,Premium,4,E,SI2,2,4939,5105.05,5105.05
200,0.51,Good,2,E,VS2,5,1424,1607.83,1607.83
201,0.38,Ideal,5,E,VVS2,6,1073,1442.44,1442.44
202,0.35,Ideal,5,I,SI2,2,580,-625.95,0
203,0.72,Very Good,3,F,VVS2,6,3338,3986.66,3986.66
204,0.3,Ideal,5,E,SI1,3,499,-592.6,0
205,0.31,Very Good,3,F,VS2,5,625,83.33,83.33
206,1.05,Ideal,5,G,VS2,5,7070,6625.15,6625.15
207,0.38,Premium,4,I,VS2,5,812,830.34,830.34
208,1,Premium,4,F,VS1,4,7056,5592.4,5592.4
209,0.32,Very Good,3,I,VS2,5,449,167.46,167.46
210,0.55,Very Good,3,D,SI2,2,1401,740.45,740.45
211,0.56,Premium,4,D,VS2,5,1963,2344.68,2344.68
212,0.31,Premium,4,F,SI1,3,663,-666.57,0
213,0.33,Ideal,5,G,IF,8,946,1929.79,1929.79
214,1.72,Premium,4,H,SI2,2,10869,10741.76,10741.76
215,1.01,Premium,4,E,VS1,4,6670,5676.53,5676.53
216,2.02,Ideal,5,J,SI1,3,12713,13877.76,13877.76
217,1.05,Ideal,5,E,VS1,4,9160,6171.15,6171.15
218,0.24,Ideal,5,F,VVS2,6,540,264.62,264.62
219,0.39,Good,2,D,VVS2,6,1255,1052.27,1052.27
220,0.32,Ideal,5,D,SI1,3,756,-424.34,0
221,0.32,Very Good,3,H,SI2,2,517,-1194.54,0
222,0.73,Ideal,5,H,SI1,3,2320,3024.99,3024.99
223,0.54,Premium,4,H,SI1,3,1240,1268.42,1268.42
224,0.52,Very Good,3,F,VS2,5,1607,1850.06,1850.06
225,0.5,Very Good,3,G,VVS2,6,1806,2135.8,2135.8
226,0.31,Ideal,5,E,VVS1,7,936,1307.53,1307.53
227,1.22,Very Good,3,I,SI2,2,5072,6377.16,6377.16
228,1.27,Good,2,J,VS1,4,5588,7547.71,7547.71
229,0.7,Good,2,E,VS1,4,3175,2752.3,2752.3
230,1.24,Premium,4,H,VS1,4,7222,7611.52,7611.52
231,1.01,Premium,4,E,SI1,3,5599,5222.53,5222.53
232,0.7,Very Good,3,D,SI1,3,3075,2456.4,2456.4
233,1.1,Very Good,3,G,SI1,3,4997,5821.6,5821.6
234,0.3,Very Good,3,E,VS2,5,658,-0.8,0
235,1.51,Good,2,G,IF,8,14654,11382.83,11382.83
236,1.7,Ideal,5,F,VS2,5,17360,12093.6,12093.6
237,0.42,Ideal,5,G,IF,8,1289,2686.96,2686.96
238,0.36,Ideal,5,D,SI1,3,626,-87.82,0
239,0.74,Very Good,3,F,SI2,2,2298,2338.92,2338.92
240,0.61,Ideal,5,G,VS2,5,2286,2923.43,2923.43
241,0.55,Ideal,5,F,VS1,4,1896,1964.65,1964.65
242,1,Very Good,3,I,VS2,5,4739,5888.3,5888.3
243,1.02,Ideal,5,H,SI2,2,4243,5010.76,5010.76
244,1,Premium,4,H,VS1,4,4732,5592.4,5592.4
245,0.33,Premium,4,F,VS2,5,854,409.69,409.69
246,0.31,Premium,4,F,VS2,5,802,241.43,241.43
247,1.16,Ideal,5,F,VS2,5,9432,7550.58,7550.58
248,1.17,Ideal,5,G,SI2,2,5743,6272.71,6272.71
249,0.62,Ideal,5,F,SI2,2,1364,1645.56,1645.56
250,0.31,Good,2,H,VS1,4,476,-528.77,0
251,0.41,Very Good,3,H,VVS1,7,991,1832.63,1832.63
252,1.04,Very Good,3,F,VS1,4,7207,5770.82,5770.82
253,0.7,Ideal,5,F,SI1,3,2671,2772.6,2772.6
254,0.33,Very Good,3,H,VVS2,6,614,705.59,705.59
255,1.5,Good,2,J,VS1,4,8347,9482.7,9482.7
256,0.6,Ideal,5,F,VVS2,6,2298,3293.3,3293.3
257,1.2,Ideal,5,H,VS2,5,7190,7887.1,7887.1
258,0.31,Very Good,3,E,SI1,3,544,-824.67,0
259,0.7,Good,2,D,SI1,3,2681,2298.3,2298.3
260,1.2,Premium,4,F,VS1,4,9370,7275,7275
261,0.37,Ideal,5,G,SI1,3,745,-3.69,0
262,0.42,Premium,4,F,SI1,3,773,258.86,258.86
263,0.83,Ideal,5,J,VS2,5,2241,4774.29,4774.29
264,0.3,Ideal,5,D,SI1,3,552,-592.6,0
265,0.32,Ideal,5,G,VVS1,7,732,1391.66,1391.66
266,0.34,Very Good,3,E,SI2,2,477,-1026.28,0
267,0.7,Very Good,3,G,VVS2,6,2905,3818.4,3818.4
268,0.88,Very Good,3,F,VVS2,6,5052,5332.74,5332.74
269,0.55,Ideal,5,H,VS1,4,1634,1964.65,1964.65
270,0.27,Ideal,5,H,VS1,4,464,-390.99,0
271,1.14,Premium,4,G,SI2,2,4884,5862.22,5862.22
272,1.05,Ideal,5,I,SI1,3,4494,5717.15,5717.15
273,0.3,Very Good,3,J,VS2,5,473,-0.8,0
274,1.5,Very Good,3,H,SI2,2,7365,8732.8,8732.8
275,1.91,Premium,4,G,SI2,2,9038,12340.23,12340.23
276,0.44,Premium,4,D,VS1,4,1232,881.12,881.12
277,1.07,Very Good,3,E,SI2,2,4609,5115.21,5115.21
278,0.5,Good,2,G,VVS2,6,1690,1977.7,1977.7
279,0.41,Premium,4,G,VS2,5,1061,1082.73,1082.73
280,0.7,Premium,4,I,VVS1,7,2536,4430.5,4430.5
281,0.38,Ideal,5,H,VVS2,6,1031,1442.44,1442.44
282,1.25,Ideal,5,E,VVS1,7,13536,9215.75,9215.75
283,0.5,Ideal,5,F,SI1,3,1374,1090,1090
284,0.24,Ideal,5,G,SI1,3,364,-1097.38,0
285,1.06,Very Good,3,E,SI2,2,4570,5031.08,5031.08
286,0.83,Premium,4,G,SI1,3,2863,3708.19,3708.19
287,0.3,Ideal,5,E,VVS2,6,766,769.4,769.4
288,0.6,Very Good,3,G,VVS1,7,2528,3431.1,3431.1
289,0.5,Fair,1,E,SI1,3,1176,457.6,457.6
290,0.9,Very Good,3,H,SI2,2,3295,3685,3685
291,0.3,Premium,4,H,VS1,4,675,-296.7,0
292,0.31,Premium,4,I,SI1,3,593,-666.57,0
293,1.56,Ideal,5,G,VS2,5,13787,10915.78,10915.78
294,0.71,Ideal,5,F,VS2,5,3123,3764.73,3764.73
295,1.51,Good,2,G,I1,1,3497,8204.83,8204.83
296,1.01,Ideal,5,E,VS1,4,7528,5834.63,5834.63
297,0.38,Ideal,5,H,VS2,5,680,988.44,988.44
298,2,Premium,4,H,SI2,2,12940,13097.4,13097.4
299,1.03,Premium,4,E,VS2,5,6460,6298.79,6298.79
300,0.52,Very Good,3,F,VS1,4,1748,1396.06,1396.06
301,0.39,Ideal,5,D,VS1,4,979,618.57,618.57
302,2,Premium,4,E,SI2,2,12987,13097.4,13097.4
303,0.3,Premium,4,H,VVS2,6,605,611.3,611.3
304,1.01,Premium,4,E,SI1,3,5599,5222.53,5222.53
305,0.31,Premium,4,G,VVS1,7,816,1149.43,1149.43
306,1.12,Ideal,5,D,VS2,5,8430,7214.06,7214.06
307,0.3,Ideal,5,F,VS2,5,605,315.4,315.4
308,0.4,Premium,4,F,VVS2,6,1088,1452.6,1452.6
309,0.9,Premium,4,G,SI1,3,3669,4297.1,4297.1
310,0.71,Premium,4,H,VS2,5,2363,3606.63,3606.63
311,0.54,Premium,4,G,SI1,3,1241,1268.42,1268.42
312,0.9,Ideal,5,D,SI1,3,4612,4455.2,4455.2
313,0.79,Very Good,3,H,SI2,2,2348,2759.57,2759.57
314,1.6,Ideal,5,F,SI1,3,13140,10344.3,10344.3
315,1.03,Very Good,3,G,SI2,2,4374,4778.69,4778.69
316,0.55,Premium,4,E,SI2,2,1134,898.55,898.55
317,0.8,Ideal,5,H,VVS1,7,3732,5429.9,5429.9
318,0.41,Ideal,5,I,VVS1,7,875,2148.83,2148.83
319,0.26,Premium,4,H,VS1,4,382,-633.22,0
320,0.31,Very Good,3,G,VS2,5,544,83.33,83.33
321,1.09,Very Good,3,F,SI2,2,4629,5283.47,5283.47
322,0.3,Premium,4,D,VS2,5,911,157.3,157.3
323,1.11,Ideal,5,I,SI1,3,4273,6221.93,6221.93
324,0.62,Ideal,5,H,IF,8,2469,4369.56,4369.56
325,0.59,Premium,4,I,VVS1,7,1837,3505.07,3505.07
326,0.56,Ideal,5,F,VS2,5,1723,2502.78,2502.78
327,0.57,Very Good,3,D,IF,8,4032,3632.71,3632.71
328,1,Premium,4,F,SI1,3,5292,5138.4,5138.4
329,1.04,Ideal,5,G,VVS2,6,6173,6995.02,6995.02
330,0.7,Fair,1,E,SI1,3,2000,2140.2,2140.2
331,0.7,Ideal,5,E,SI1,3,2407,2772.6,2772.6
332,1.13,Premium,4,E,SI1,3,5012,6232.09,6232.09
333,1.51,Premium,4,D,VS1,4,17936,9883.03,9883.03
334,0.71,Very Good,3,E,SI1,3,2455,2540.53,2540.53
335,0.43,Premium,4,D,SI1,3,1064,342.99,342.99
336,0.55,Ideal,5,F,SI1,3,1368,1510.65,1510.65
337,1.54,Premium,4,G,SI2,2,8969,9227.42,9227.42
338,1,Very Good,3,E,SI2,2,4620,4526.3,4526.3
339,2.5,Fair,1,J,SI2,2,14652,16829.6,16829.6
340,1,Good,2,I,VS2,5,4761,5730.2,5730.2
341,1.01,Ideal,5,G,SI2,2,4783,4926.63,4926.63
342,1.02,Premium,4,D,SI2,2,4718,4852.66,4852.66
343,0.32,Premium,4,I,VS1,4,505,-128.44,0
344,1.71,Good,2,J,SI2,2,7508,10341.43,10341.43
345,0.31,Ideal,5,H,VVS1,7,707,1307.53,1307.53
346,0.33,Ideal,5,G,IF,8,946,1929.79,1929.79
347,0.52,Very Good,3,E,SI1,3,1438,942.06,942.06
348,1.5,Ideal,5,H,SI1,3,11189,9503,9503
349,0.3,Premium,4,I,VS1,4,567,-296.7,0
350,0.3,Premium,4,G,VVS2,6,878,611.3,611.3
351,0.5,Good,2,D,VS1,4,1795,1069.7,1069.7
352,0.52,Ideal,5,G,VVS1,7,2065,3074.26,3074.26
353,0.47,Good,2,E,VVS1,7,1613,2179.31,2179.31
354,1.3,Ideal,5,F,SI2,2,6559,7366.4,7366.4
355,0.31,Ideal,5,G,IF,8,871,1761.53,1761.53
356,0.34,Very Good,3,D,SI1,3,626,-572.28,0
357,1.01,Ideal,5,F,SI2,2,3777,4926.63,4926.63
358,0.64,Ideal,5,D,VVS1,7,4281,4083.82,4083.82
359,0.31,Good,2,H,VS2,5,489,-74.77,0
360,0.7,Premium,4,F,SI1,3,2196,2614.5,2614.5
361,0.7,Premium,4,F,VVS2,6,3062,3976.5,3976.5
362,1.17,Ideal,5,G,VVS2,6,9225,8088.71,8088.71
363,0.26,Very Good,3,E,VVS2,6,564,116.68,116.68
364,1,Good,2,E,VVS1,7,7084,6638.2,6638.2
365,0.4,Ideal,5,I,VS2,5,667,1156.7,1156.7
366,1,Fair,1,F,SI1,3,4657,4664.1,4664.1
367,0.47,Premium,4,G,VS2,5,1102,1587.51,1587.51
368,0.34,Ideal,5,F,VS1,4,745,197.92,197.92
369,0.33,Good,2,I,VVS2,6,579,547.49,547.49
370,0.52,Very Good,3,E,VS2,5,1670,1850.06,1850.06
371,1.02,Ideal,5,H,VVS2,6,6797,6826.76,6826.76
372,1.71,Premium,4,I,VS1,4,10055,11565.63,11565.63
373,1.01,Ideal,5,D,SI1,3,6257,5380.63,5380.63
374,1.4,Premium,4,H,SI1,3,8624,8503.6,8503.6
375,1.05,Ideal,5,G,SI1,3,5192,5717.15,5717.15
376,0.32,Ideal,5,E,IF,8,1018,1845.66,1845.66
377,1.21,Ideal,5,H,SI2,2,5624,6609.23,6609.23
378,1.14,Ideal,5,H,SI1,3,5501,6474.32,6474.32
379,0.4,Very Good,3,J,VS1,4,606,386.5,386.5
380,1.01,Very Good,3,I,SI1,3,4185,5064.43,5064.43
381,0.4,Premium,4,D,VS1,4,1200,544.6,544.6
382,1.52,Fair,1,J,SI2,2,5916,8584.86,8584.86
383,0.76,Premium,4,E,SI1,3,2814,3119.28,3119.28
384,0.5,Ideal,5,G,SI2,2,1011,636,636
385,0.28,Ideal,5,D,VVS1,7,780,1055.14,1055.14
386,1.11,Ideal,5,H,SI1,3,5315,6221.93,6221.93
387,0.38,Premium,4,H,VS2,5,700,830.34,830.34
388,1,Very Good,3,D,SI1,3,6040,4980.3,4980.3
389,0.56,Ideal,5,I,VVS1,7,1605,3410.78,3410.78
390,0.34,Premium,4,E,VVS2,6,995,947.82,947.82
391,0.82,Ideal,5,G,SI1,3,3123,3782.16,3782.16
392,1.04,Premium,4,F,SI2,2,4507,5020.92,5020.92
393,0.47,Ideal,5,H,IF,8,1865,3107.61,3107.61
394,1.02,Premium,4,H,VS2,5,5100,6214.66,6214.66
395,1.02,Very Good,3,D,SI1,3,6047,5148.56,5148.56
396,0.41,Premium,4,G,SI1,3,719,174.73,174.73
397,0.44,Very Good,3,E,VS1,4,1158,723.02,723.02
398,0.5,Premium,4,E,VS2,5,1654,1839.9,1839.9
399,1,Premium,4,J,SI1,3,3780,5138.4,5138.4
400,2.05,Premium,4,I,VS1,4,12766,14426.05,14426.05
401,0.75,Very Good,3,E,SI1,3,2698,2877.05,2877.05
402,0.95,Good,2,D,SI2,2,3214,3947.55,3947.55
403,0.51,Ideal,5,E,SI1,3,1438,1174.13,1174.13
404,0.3,Ideal,5,I,SI2,2,405,-1046.6,0
405,1.19,Very Good,3,H,VS1,4,7147,7032.77,7032.77
406,1,Fair,1,D,SI2,2,2974,4210.1,4210.1
407,1.6,Ideal,5,E,SI2,2,10798,9890.3,9890.3
408,0.38,Premium,4,F,SI1,3,838,-77.66,0
409,0.33,Premium,4,D,VVS2,6,1002,863.69,863.69
410,0.8,Ideal,5,E,SI1,3,3630,3613.9,3613.9
411,1.5,Premium,4,H,IF,8,13107,11614.9,11614.9
412,0.3,Ideal,5,E,VVS1,7,956,1223.4,1223.4
413,0.3,Ideal,5,H,VVS2,6,605,769.4,769.4
414,0.27,Very Good,3,E,VVS2,6,620,200.81,200.81
415,0.46,Very Good,3,E,VS1,4,1417,891.28,891.28
416,1.51,Premium,4,H,SI2,2,8388,8975.03,8975.03
417,1.03,Premium,4,E,VS2,5,7192,6298.79,6298.79
418,0.33,Premium,4,H,VS2,5,668,409.69,409.69
419,1.01,Premium,4,H,SI1,3,4559,5222.53,5222.53
420,0.4,Ideal,5,D,VS2,5,1050,1156.7,1156.7
421,0.8,Ideal,5,E,VS2,5,3648,4521.9,4521.9
422,0.71,Very Good,3,G,VS2,5,2382,3448.53,3448.53
423,0.34,Premium,4,F,VS2,5,880,493.82,493.82
424,0.5,Good,2,D,SI1,3,1235,615.7,615.7
425,1.22,Ideal,5,F,VVS2,6,11870,8509.36,8509.36
426,0.59,Very Good,3,F,VS2,5,1764,2438.97,2438.97
427,0.78,Ideal,5,G,VS2,5,3613,4353.64,4353.64
