,carat,cut,cut_ord,color,clarity,clarity_ord,predicted_price,bid,pred_price_modified,bid_modified
82,2.03,Ideal,5,G,SI2,2,13507.89,9455.523,13507.89,9455.523
83,1.24,Premium,4,D,SI1,3,7157.52,5010.264,7157.52,5010.264
84,0.92,Premium,4,G,SI2,2,4011.36,2807.952,4011.36,2807.952
85,1,Fair,1,E,SI2,2,4210.1,2947.07,4210.1,2947.07
86,0.57,Ideal,5,F,VS1,4,2132.91,1493.037,2132.91,1493.037
87,0.54,Ideal,5,D,SI1,3,1426.52,998.564,1426.52,998.564
88,1.08,Premium,4,H,SI2,2,5357.44,3750.208,5357.44,3750.208
89,0.54,Very Good,3,H,VVS1,7,2926.32,2048.424,2926.32,2048.424
90,0.63,Very Good,3,F,VS2,5,2775.49,1942.843,2775.49,1942.843
91,1.58,Premium,4,D,SI1,3,10017.94,7012.558,10017.94,7012.558
92,0.3,Very Good,3,D,VS2,5,-0.8,-0.56,0,0
93,1.56,Ideal,5,G,VVS2,6,11369.78,7958.846,11369.78,7958.846
94,0.26,Very Good,3,F,VVS2,6,116.68,81.676,116.68,81.676
95,0.57,Ideal,5,E,VS2,5,2586.91,1810.837,2586.91,1810.837
96,0.39,Ideal,5,F,IF,8,2434.57,1704.199,2434.57,1704.199
97,1.13,Very Good,3,G,SI2,2,5619.99,3933.993,5619.99,3933.993
98,1.09,Ideal,5,H,SI1,3,6053.67,4237.569,6053.67,4237.569
99,1.52,Ideal,5,E,SI2,2,9217.26,6452.082,9217.26,6452.082
100,1.01,Very Good,3,E,VS1,4,5518.43,3862.901,5518.43,3862.901
101,1.21,Premium,4,H,SI2,2,6451.13,4515.791,6451.13,4515.791
102,0.5,Ideal,5,H,SI1,3,1090,763,1090,763
103,1.33,Premium,4,E,SI2,2,7460.69,5222.483,7460.69,5222.483
104,0.52,Very Good,3,D,VS2,5,1850.06,1295.042,1850.06,1295.042
105,0.33,Ideal,5,H,SI2,2,-794.21,-555.947,0,0
106,1.06,Premium,4,G,SI2,2,5189.18,3632.426,5189.18,3632.426
107,0.9,Premium,4,F,SI2,2,3843.1,2690.17,3843.1,2690.17
108,0.92,Ideal,5,H,VS1,4,5077.46,3554.222,5077.46,3554.222
109,1.54,Premium,4,D,VS2,5,10589.42,7412.594,10589.42,7412.594
110,1,Premium,4,E,SI2,2,4684.4,3279.08,4684.4,3279.08
111,1.2,Ideal,5,G,VS1,4,7433.1,5203.17,7433.1,5203.17
112,1,Ideal,5,E,SI1,3,5296.5,3707.55,5296.5,3707.55
113,0.33,Very Good,3,E,SI1,3,-656.41,-459.487,0,0
114,0.38,Ideal,5,E,IF,8,2350.44,1645.308,2350.44,1645.308
115,0.55,Ideal,5,H,VVS2,6,2872.65,2010.855,2872.65,2010.855
116,0.31,Premium,4,J,VS2,5,241.43,169.001,241.43,169.001
117,1.13,Ideal,5,D,VS1,4,6844.19,4790.933,6844.19,4790.933
118,0.33,Premium,4,D,SI1,3,-498.31,-348.817,0,0
119,1.03,Premium,4,E,VS2,5,6298.79,4409.153,6298.79,4409.153
120,0.53,Very Good,3,F,SI1,3,1026.19,718.333,1026.19,718.333
121,1,Good,2,F,I1,1,3914.2,2739.94,3914.2,2739.94
122,0.8,Very Good,3,F,VS1,4,3751.7,2626.19,3751.7,2626.19
123,1.25,Good,2,I,SI2,2,6471.45,4530.015,6471.45,4530.015
124,0.5,Very Good,3,E,SI1,3,773.8,541.66,773.8,541.66
125,0.56,Ideal,5,D,VS2,5,2502.78,1751.946,2502.78,1751.946
126,0.46,Ideal,5,J,VS2,5,1661.48,1163.036,1661.48,1163.036
127,2.1,Premium,4,H,SI2,2,13938.7,9757.09,13938.7,9757.09
128,0.77,Ideal,5,D,SI1,3,3361.51,2353.057,3361.51,2353.057
129,0.53,Premium,4,H,VS2,5,2092.29,1464.603,2092.29,1464.603
130,0.75,Very Good,3,F,VS1,4,3331.05,2331.735,3331.05,2331.735
131,0.41,Premium,4,F,VVS2,6,1536.73,1075.711,1536.73,1075.711
132,0.41,Ideal,5,G,VVS1,7,2148.83,1504.181,2148.83,1504.181
133,0.51,Ideal,5,D,VS2,5,2082.13,1457.491,2082.13,1457.491
134,0.34,Premium,4,G,VS2,5,493.82,345.674,493.82,345.674
135,0.51,Ideal,5,E,SI2,2,720.13,504.091,720.13,504.091
136,0.3,Premium,4,H,SI1,3,-750.7,-525.49,0,0
137,1.5,Good,2,G,SI2,2,8574.7,6002.29,8574.7,6002.29
138,1.01,Very Good,3,F,SI2,2,4610.43,3227.301,4610.43,3227.301
139,1.1,Ideal,5,G,VS1,4,6591.8,4614.26,6591.8,4614.26
140,0.5,Good,2,D,SI1,3,615.7,430.99,615.7,430.99
141,1,Good,2,E,VVS2,6,6184.2,4328.94,6184.2,4328.94
142,1.22,Ideal,5,J,VS1,4,7601.36,5320.952,7601.36,5320.952
143,1.51,Ideal,5,H,SI2,2,9133.13,6393.191,9133.13,6393.191
144,0.31,Ideal,5,E,VVS1,7,1307.53,915.271,1307.53,915.271
145,0.95,Premium,4,E,SI2,2,4263.75,2984.625,4263.75,2984.625
146,1.06,Very Good,3,I,SI2,2,5031.08,3521.756,5031.08,3521.756
147,1.39,Premium,4,E,VS2,5,9327.47,6529.229,9327.47,6529.229
148,1.01,Very Good,3,H,VS2,5,5972.43,4180.701,5972.43,4180.701
149,0.72,Premium,4,D,SI1,3,2782.76,1947.932,2782.76,1947.932
150,0.51,Premium,4,D,VS1,4,1470.03,1029.021,1470.03,1029.021
151,1.5,Very Good,3,D,SI2,2,8732.8,6112.96,8732.8,6112.96
152,0.7,Premium,4,G,VVS1,7,4430.5,3101.35,4430.5,3101.35
153,1.01,Premium,4,H,SI2,2,4768.53,3337.971,4768.53,3337.971
154,0.3,Ideal,5,I,SI1,3,-592.6,-414.82,0,0
155,1.29,Premium,4,F,SI1,3,7578.17,5304.719,7578.17,5304.719
156,1.01,Very Good,3,F,VS2,5,5972.43,4180.701,5972.43,4180.701
157,0.33,Ideal,5,I,VS2,5,567.79,397.453,567.79,397.453
158,1.53,Premium,4,H,SI2,2,9143.29,6400.303,9143.29,6400.303
159,0.85,Premium,4,D,SI2,2,3422.45,2395.715,3422.45,2395.715
160,0.33,Ideal,5,G,VS2,5,567.79,397.453,567.79,397.453
161,0.6,Ideal,5,D,VVS1,7,3747.3,2623.11,3747.3,2623.11
162,0.63,Premium,4,I,VS1,4,2479.59,1735.713,2479.59,1735.713
163,1.04,Premium,4,G,SI2,2,5020.92,3514.644,5020.92,3514.644
164,2.01,Very Good,3,H,SI2,2,13023.43,9116.401,13023.43,9116.401
165,0.71,Premium,4,E,SI1,3,2698.63,1889.041,2698.63,1889.041
166,0.3,Very Good,3,G,VVS2,6,453.2,317.24,453.2,317.24
167,1.74,Ideal,5,J,VS1,4,11976.12,8383.284,11976.12,8383.284
168,1.06,Ideal,5,E,SI1,3,5801.28,4060.896,5801.28,4060.896
169,0.7,Fair,1,G,SI1,3,2140.2,1498.14,2140.2,1498.14
170,1.52,Very Good,3,G,VS2,5,10263.06,7184.142,10263.06,7184.142
171,0.41,Ideal,5,F,VS2,5,1240.83,868.581,1240.83,868.581
172,1.22,Ideal,5,G,VS1,4,7601.36,5320.952,7601.36,5320.952
173,0.37,Premium,4,E,SI1,3,-161.79,-113.253,0,0
174,0.3,Premium,4,H,SI1,3,-750.7,-525.49,0,0
175,0.54,Premium,4,E,SI1,3,1268.42,887.894,1268.42,887.894
176,0.37,Ideal,5,E,VS2,5,904.31,633.017,904.31,633.017
177,1.5,Premium,4,E,VVS2,6,10706.9,7494.83,10706.9,7494.83
178,0.62,Very Good,3,G,VS2,5,2691.36,1883.952,2691.36,1883.952
179,1.33,Premium,4,H,SI2,2,7460.69,5222.483,7460.69,5222.483
180,1.51,Very Good,3,J,SI2,2,8816.93,6171.851,8816.93,6171.851
181,0.31,Ideal,5,H,VVS1,7,1307.53,915.271,1307.53,915.271
182,0.38,Ideal,5,G,SI2,2,-373.56,-261.492,0,0
183,0.31,Ideal,5,I,VS1,4,-54.47,-38.129,0,0
184,0.34,Premium,4,G,VVS2,6,947.82,663.474,947.82,663.474
185,0.75,Good,2,E,SI2,2,2264.95,1585.465,2264.95,1585.465
186,0.28,Very Good,3,F,VVS2,6,284.94,199.458,284.94,199.458
187,1.23,Very Good,3,G,SI2,2,6461.29,4522.903,6461.29,4522.903
188,0.75,Good,2,E,SI1,3,2718.95,1903.265,2718.95,1903.265
189,1.11,Ideal,5,H,VVS2,6,7583.93,5308.751,7583.93,5308.751
190,2.07,Very Good,3,I,SI1,3,13982.21,9787.547,13982.21,9787.547
191,1,Premium,4,D,SI1,3,5138.4,3596.88,5138.4,3596.88
192,0.79,Ideal,5,F,SI1,3,3529.77,2470.839,3529.77,2470.839
193,0.31,Ideal,5,G,VS1,4,-54.47,-38.129,0,0
194,0.31,Premium,4,I,VVS1,7,1149.43,804.601,1149.43,804.601
195,1,Ideal,5,H,SI1,3,5296.5,3707.55,5296.5,3707.55
196,0.41,Premium,4,G,VS1,4,628.73,440.111,628.73,440.111
197,0.51,Premium,4,E,SI1,3,1016.03,711.221,1016.03,711.221
198,1.91,Very Good,3,F,SI1,3,12636.13,8845.291,12636.13,8845.291
199,1.19,Very Good,3,E,VS2,5,7486.77,5240.739,7486.77,5240.739
200,0.32,Premium,4,F,VVS1,7,1233.56,863.492,1233.56,863.492
201,0.55,Ideal,5,F,SI2,2,1056.65,739.655,1056.65,739.655
202,0.32,Ideal,5,F,IF,8,1845.66,1291.962,1845.66,1291.962
203,1.09,Ideal,5,G,SI2,2,5599.67,3919.769,5599.67,3919.769
204,0.9,Very Good,3,I,VVS1,7,5955,4168.5,5955,4168.5
205,0.74,Ideal,5,E,VS2,5,4017.12,2811.984,4017.12,2811.984
206,0.9,Very Good,3,G,VS2,5,5047,3532.9,5047,3532.9
207,0.76,Ideal,5,D,VS1,4,3731.38,2611.966,3731.38,2611.966
208,0.73,Ideal,5,D,SI2,2,2570.99,1799.693,2570.99,1799.693
209,0.52,Good,2,G,SI1,3,783.96,548.772,783.96,548.772
210,0.73,Premium,4,E,SI1,3,2866.89,2006.823,2866.89,2006.823
211,0.76,Premium,4,I,VS2,5,4027.28,2819.096,4027.28,2819.096
212,0.48,Good,2,F,VS1,4,901.44,631.008,901.44,631.008
213,1.5,Fair,1,D,SI1,3,8870.6,6209.42,8870.6,6209.42
214,0.37,Very Good,3,F,SI1,3,-319.89,-223.923,0,0
215,0.43,Premium,4,E,VS2,5,1250.99,875.693,1250.99,875.693
216,0.58,Ideal,5,E,VVS2,6,3125.04,2187.528,3125.04,2187.528
217,1.01,Ideal,5,D,SI1,3,5380.63,3766.441,5380.63,3766.441
218,0.28,Ideal,5,H,VS1,4,-306.86,-214.802,0,0
219,0.53,Very Good,3,G,VS1,4,1480.19,1036.133,1480.19,1036.133
220,0.9,Very Good,3,I,VS2,5,5047,3532.9,5047,3532.9
221,0.3,Ideal,5,F,VVS1,7,1223.4,856.38,1223.4,856.38
222,1.51,Premium,4,D,SI2,2,8975.03,6282.521,8975.03,6282.521
223,1.01,Premium,4,G,SI2,2,4768.53,3337.971,4768.53,3337.971
224,0.31,Ideal,5,F,VS2,5,399.53,279.671,399.53,279.671
225,0.66,Ideal,5,D,VS2,5,3344.08,2340.856,3344.08,2340.856
226,0.56,Premium,4,D,SI1,3,1436.68,1005.676,1436.68,1005.676
227,0.28,Very Good,3,E,VVS2,6,284.94,199.458,284.94,199.458
228,0.55,Ideal,5,F,SI2,2,1056.65,739.655,1056.65,739.655
229,0.29,Ideal,5,G,IF,8,1593.27,1115.289,1593.27,1115.289
230,0.36,Ideal,5,E,VS1,4,366.18,256.326,366.18,256.326
231,0.31,Ideal,5,D,SI1,3,-508.47,-355.929,0,0
232,0.58,Very Good,3,G,VVS2,6,2808.84,1966.188,2808.84,1966.188
233,0.4,Premium,4,D,SI2,2,-363.4,-254.38,0,0
234,0.29,Ideal,5,I,VS1,4,-222.73,-155.911,0,0
235,0.62,Very Good,3,E,VS1,4,2237.36,1566.152,2237.36,1566.152
236,0.73,Ideal,5,E,SI2,2,2570.99,1799.693,2570.99,1799.693
237,2.01,Very Good,3,J,SI2,2,13023.43,9116.401,13023.43,9116.401
238,0.7,Very Good,3,G,I1,1,1548.4,1083.88,1548.4,1083.88
239,0.54,Good,2,D,SI2,2,498.22,348.754,498.22,348.754
240,0.3,Fair,1,D,VVS2,6,137,95.9,137,95.9
241,0.38,Ideal,5,H,VVS1,7,1896.44,1327.508,1896.44,1327.508
242,0.7,Premium,4,G,VS1,4,3068.5,2147.95,3068.5,2147.95
243,0.82,Ideal,5,E,SI2,2,3328.16,2329.712,3328.16,2329.712
244,0.41,Ideal,5,E,VVS2,6,1694.83,1186.381,1694.83,1186.381
245,0.64,Ideal,5,G,IF,8,4537.82,3176.474,4537.82,3176.474
246,1.01,Very Good,3,H,VS1,4,5518.43,3862.901,5518.43,3862.901
247,0.58,Very Good,3,I,VS2,5,2354.84,1648.388,2354.84,1648.388
248,0.34,Ideal,5,D,VS1,4,197.92,138.544,197.92,138.544
249,0.85,Ideal,5,E,VS1,4,4488.55,3141.985,4488.55,3141.985
250,0.91,Good,2,G,SI2,2,3611.03,2527.721,3611.03,2527.721
251,0.91,Premium,4,G,SI2,2,3927.23,2749.061,3927.23,2749.061
252,0.5,Fair,1,E,VS2,5,1365.6,955.92,1365.6,955.92
253,1,Premium,4,F,VS2,5,6046.4,4232.48,6046.4,4232.48
254,1.5,Very Good,3,G,SI1,3,9186.8,6430.76,9186.8,6430.76
255,1.26,Ideal,5,H,VS1,4,7937.88,5556.516,7937.88,5556.516
256,0.35,Premium,4,D,SI2,2,-784.05,-548.835,0,0
257,1.09,Premium,4,I,VS2,5,6803.57,4762.499,6803.57,4762.499
258,0.3,Ideal,5,F,VS2,5,315.4,220.78,315.4,220.78
259,0.27,Ideal,5,E,VS1,4,-390.99,-273.693,0,0
260,0.32,Ideal,5,E,VVS2,6,937.66,656.362,937.66,656.362
261,1.09,Premium,4,I,VS1,4,6349.57,4444.699,6349.57,4444.699
262,0.4,Premium,4,F,SI1,3,90.6,63.42,90.6,63.42
263,1.04,Ideal,5,E,VVS2,6,6995.02,4896.514,6995.02,4896.514
264,0.51,Premium,4,E,VS2,5,1924.03,1346.821,1924.03,1346.821
265,0.73,Ideal,5,H,SI1,3,3024.99,2117.493,3024.99,2117.493
266,1.01,Good,2,H,SI2,2,4452.33,3116.631,4452.33,3116.631
267,1.34,Ideal,5,G,VS2,5,9064.92,6345.444,9064.92,6345.444
268,0.52,Ideal,5,G,VVS2,6,2620.26,1834.182,2620.26,1834.182
269,1.21,Good,2,H,VS1,4,7042.93,4930.051,7042.93,4930.051
270,0.35,Ideal,5,F,VS1,4,282.05,197.435,282.05,197.435
271,0.7,Ideal,5,G,VVS2,6,4134.6,2894.22,4134.6,2894.22
272,0.7,Premium,4,G,SI1,3,2614.5,1830.15,2614.5,1830.15
273,0.42,Very Good,3,G,SI1,3,100.76,70.532,100.76,70.532
274,0.38,Premium,4,D,SI2,2,-531.66,-372.162,0,0
275,0.3,Ideal,5,G,VS1,4,-138.6,-97.02,0,0
276,0.91,Premium,4,F,SI2,2,3927.23,2749.061,3927.23,2749.061
277,1.11,Premium,4,G,SI1,3,6063.83,4244.681,6063.83,4244.681
278,0.3,Good,2,G,IF,8,1203.1,842.17,1203.1,842.17
279,0.32,Ideal,5,F,VVS1,7,1391.66,974.162,1391.66,974.162
280,0.42,Ideal,5,F,VS2,5,1324.96,927.472,1324.96,927.472
281,0.54,Ideal,5,G,VVS2,6,2788.52,1951.964,2788.52,1951.964
282,2.03,Very Good,3,I,VS2,5,14553.69,10187.583,14553.69,10187.583
283,0.4,Good,2,F,VS2,5,682.4,477.68,682.4,477.68
284,0.57,Premium,4,H,VS1,4,1974.81,1382.367,1974.81,1382.367
285,0.72,Ideal,5,J,VVS1,7,4756.86,3329.802,4756.86,3329.802
286,1.3,Premium,4,I,SI1,3,7662.3,5363.61,7662.3,5363.61
287,1.01,Premium,4,E,VS2,5,6130.53,4291.371,6130.53,4291.371
288,0.39,Ideal,5,G,SI2,2,-289.43,-202.601,0,0
289,0.43,Ideal,5,F,VVS2,6,1863.09,1304.163,1863.09,1304.163
290,0.77,Premium,4,I,SI1,3,3203.41,2242.387,3203.41,2242.387
291,0.53,Ideal,5,F,VVS1,7,3158.39,2210.873,3158.39,2210.873
292,0.65,Very Good,3,I,IF,8,4305.75,3014.025,4305.75,3014.025
293,0.33,Premium,4,D,SI2,2,-952.31,-666.617,0,0
294,1.02,Premium,4,F,SI2,2,4852.66,3396.862,4852.66,3396.862
295,0.31,Premium,4,G,VVS1,7,1149.43,804.601,1149.43,804.601
296,0.36,Ideal,5,F,SI1,3,-87.82,-61.474,0,0
297,0.3,Very Good,3,H,VVS1,7,907.2,635.04,907.2,635.04
298,0.9,Very Good,3,H,SI2,2,3685,2579.5,3685,2579.5
299,1.05,Ideal,5,G,SI1,3,5717.15,4002.005,5717.15,4002.005
300,1.5,Good,2,D,SI2,2,8574.7,6002.29,8574.7,6002.29
301,0.9,Very Good,3,H,VS1,4,4593,3215.1,4593,3215.1
302,0.72,Very Good,3,E,SI1,3,2624.66,1837.262,2624.66,1837.262
303,0.42,Premium,4,G,VS2,5,1166.86,816.802,1166.86,816.802
304,0.53,Premium,4,I,VVS1,7,3000.29,2100.203,3000.29,2100.203
305,0.51,Very Good,3,F,SI1,3,857.93,600.551,857.93,600.551
306,0.51,Ideal,5,H,VS2,5,2082.13,1457.491,2082.13,1457.491
307,0.86,Premium,4,F,SI2,2,3506.58,2454.606,3506.58,2454.606
308,1.51,Premium,4,H,SI1,3,9429.03,6600.321,9429.03,6600.321
309,0.37,Ideal,5,F,VS1,4,450.31,315.217,450.31,315.217
310,0.56,Premium,4,D,SI1,3,1436.68,1005.676,1436.68,1005.676
311,1.59,Premium,4,I,VS2,5,11010.07,7707.049,11010.07,7707.049
312,0.73,Ideal,5,H,SI1,3,3024.99,2117.493,3024.99,2117.493
313,0.31,Ideal,5,F,IF,8,1761.53,1233.071,1761.53,1233.071
314,0.4,Very Good,3,F,SI1,3,-67.5,-47.25,0,0
315,0.52,Ideal,5,F,VS2,5,2166.26,1516.382,2166.26,1516.382
316,1.04,Premium,4,H,SI1,3,5474.92,3832.444,5474.92,3832.444
317,1,Ideal,5,J,VS1,4,5750.5,4025.35,5750.5,4025.35
318,0.78,Ideal,5,F,SI1,3,3445.64,2411.948,3445.64,2411.948
319,0.76,Ideal,5,J,SI1,3,3277.38,2294.166,3277.38,2294.166
320,0.71,Premium,4,E,VS2,5,3606.63,2524.641,3606.63,2524.641
321,0.9,Ideal,5,G,SI2,2,4001.2,2800.84,4001.2,2800.84
322,1.01,Very Good,3,E,SI2,2,4610.43,3227.301,4610.43,3227.301
323,0.81,Very Good,3,G,SI2,2,2927.83,2049.481,2927.83,2049.481
324,0.36,Ideal,5,F,VVS2,6,1274.18,891.926,1274.18,891.926
325,0.61,Ideal,5,I,SI2,2,1561.43,1093.001,1561.43,1093.001
326,0.51,Ideal,5,E,VS2,5,2082.13,1457.491,2082.13,1457.491
327,0.24,Ideal,5,E,VVS2,6,264.62,185.234,264.62,185.234
328,0.52,Ideal,5,H,IF,8,3528.26,2469.782,3528.26,2469.782
329,1,Premium,4,H,SI2,2,4684.4,3279.08,4684.4,3279.08
330,0.31,Ideal,5,H,VVS2,6,853.53,597.471,853.53,597.471
331,1.08,Premium,4,H,VS1,4,6265.44,4385.808,6265.44,4385.808
332,0.7,Good,2,D,VS2,5,3206.3,2244.41,3206.3,2244.41
333,0.3,Very Good,3,F,VVS1,7,907.2,635.04,907.2,635.04
334,0.3,Ideal,5,H,SI1,3,-592.6,-414.82,0,0
335,0.7,Very Good,3,G,VS2,5,3364.4,2355.08,3364.4,2355.08
336,0.72,Ideal,5,E,SI2,2,2486.86,1740.802,2486.86,1740.802
337,0.3,Ideal,5,H,VVS1,7,1223.4,856.38,1223.4,856.38
338,0.76,Premium,4,F,SI1,3,3119.28,2183.496,3119.28,2183.496
339,0.41,Very Good,3,D,SI1,3,16.63,11.641,16.63,11.641
340,0.41,Premium,4,E,SI1,3,174.73,122.311,174.73,122.311
341,0.4,Very Good,3,D,SI2,2,-521.5,-365.05,0,0
342,1.54,Good,2,E,SI1,3,9365.22,6555.654,9365.22,6555.654
343,0.55,Ideal,5,E,VVS2,6,2872.65,2010.855,2872.65,2010.855
344,0.57,Ideal,5,H,SI1,3,1678.91,1175.237,1678.91,1175.237
345,0.53,Ideal,5,E,VS2,5,2250.39,1575.273,2250.39,1575.273
346,0.33,Very Good,3,E,VS2,5,251.59,176.113,251.59,176.113
347,1.53,Premium,4,D,SI2,2,9143.29,6400.303,9143.29,6400.303
348,0.52,Ideal,5,H,SI1,3,1258.26,880.782,1258.26,880.782
349,1.01,Very Good,3,F,VVS1,7,6880.43,4816.301,6880.43,4816.301
350,0.91,Very Good,3,D,SI1,3,4223.13,2956.191,4223.13,2956.191
351,0.54,Premium,4,F,VS2,5,2176.42,1523.494,2176.42,1523.494
352,0.53,Premium,4,H,SI1,3,1184.29,829.003,1184.29,829.003
353,1.02,Premium,4,G,VS2,5,6214.66,4350.262,6214.66,4350.262
354,0.3,Premium,4,H,VS1,4,-296.7,-207.69,0,0
